kjerne,klubb_stor,res_stor,ar_stor,klubb_liten,res_liten,ar_liten,felles_utovere,overlappende_ar,id_stor,id_liten
skauga,Skauga IL,28,1962–2022,IL Skauga,1,1984–1984,1,ja,bc1a1b86-a80f-4e20-8bc8-925c32509be0,829ae311-d82f-4846-b41c-a75c47547c30
knubben,Knubben IL,24,1967–2015,IL Knubben,1,1967–1967,1,ja,62fe5f31-5409-45c3-8644-9b43f03b3c7b,20b6b080-6f41-4ef0-8f2a-432dbc458ae7
frode,Frode IL,14,1996–2012,IL Frode,1,2012–2012,1,ja,f245c399-fbbd-4048-a72d-819992b82f4a,eac5068d-7ec7-421f-a394-42f116cbcc44
folldal,Folldal IF,8,1972–2026,Folldal IL,1,1972–1972,1,ja,e9e5903a-1e76-4157-8f90-236cb9089ad4,2189a4d3-7a6c-47e3-a922-130275e13ad1
hjelset fram,IL Hjelset-Fram,5,1980–1985,Hjelset-Fram IL,1,1983–1983,1,ja,c8757888-4b07-40b2-974f-01cee8e0847c,7f6b7ae8-1524-4859-94c8-290f94b15f20
ålgard,Ålgard IL,3,2015–2026,Ålgard Idrettslag,1,2015–2015,1,ja,529e5657-afa9-445a-b885-ec0358f5af79,b54a9228-1f9e-431e-8f59-8598cef8fd43
kristiansand,Kristiansand FIK,3,1990–1990,Kristiansand IF,1,1992–1992,1,nei,f2d148bf-7a72-4a46-b654-1bdd8e237b48,5a0afc3c-fa81-4b72-b812-7ec3ff0f9b64
husøy foynland,Husøy & Foynland IL,3,1953–1953,Husøy & Foynland IF,1,1953–1953,1,ja,757e0ed4-03ba-4fe1-82c3-7eae87ccf500,6a402ac1-9335-4f77-b962-7a21a1d168bf
bakke,Bakke IF,3,1948–2017,Bakke IL,1,1948–1948,1,ja,95a107c6-9225-40fa-a9b7-132458c04a99,927b6ed9-f959-46ae-9079-c9ac6b9fbcc8
hauken,Hauken IL,2,1955–2013,IL Hauken,1,1955–1955,1,ja,7af7fa6b-f5a3-4cb5-8e61-93cdaae6048b,bb2eac02-6a7b-417a-85c3-81384758713c
narve,Narve IL,1,1928–1928,IL Narve,1,1928–1928,1,ja,163bfc9e-452a-4b9b-89b5-2b125ea1dcbd,6a11720c-ca5d-4758-871e-3191345a7948
aspedammen,Aspedammen IF,1,1963–1963,Aspedammen IL,1,1963–1963,1,ja,377db5bc-ce28-45e8-a198-84244b9444bb,f87774b2-a554-416c-aa57-5e606d01ec6e
stavanger,Stavanger Friidrettsklubb,472,2013–2021,Stavanger IF,51,1934–2020,0,ja,3887cfc5-512b-41b6-a35d-2445611d2ffd,6f6d769b-5e48-4c63-a338-e1b2d5563a28
nordre land,Nordre Land friidrett,1495,1969–2026,Nordre Land IL,15,1966–2003,0,ja,b9336bc1-7b36-4782-9ed5-c9673390044d,ad127d28-4c02-474d-b482-a1f17bd8724b
tromsø,Tromsø Friidrettsklubb,101,1998–2025,Tromsø Skiklubb,14,2012–2020,0,ja,89628f92-2926-42ba-a416-d2859e9146c6,fd935a45-9144-4a50-9dd2-9eca911217d3
ranheim,Ranheim Idrettslag,25012,1951–2026,Ranheim Skiklubb,10,2014–2020,0,ja,86bc6feb-bda7-49f6-bfd0-91dda244dbe3,4032345e-aae7-494b-ae2f-5cd0d091f817
ros,Ros IL,713,1997–2026,IL Ros,7,1978–2005,0,ja,7463836a-a8d2-4e98-b060-74f7a68a0d81,fa85ebc0-fc20-49a1-8a93-36b543d02fb7
havørn,Havørn IL,2036,2011–2026,IL Havørn,6,1993–2008,0,nei,37b168df-e9fa-49e1-bceb-93b10845ee37,1fcbc8ac-fc01-4aa5-a3ed-34e93b8d8904
kråkstad,Kråkstad IL - Friidrett,209,2012–2022,Kråkstad IL,6,1969–1983,0,nei,da8579d0-75c3-4812-b0d2-71d09bc0aeba,dfb4e335-f641-48af-8636-21958dfb454f
fram,Idrettslaget Fram,608,1929–2026,IF Fram,5,2000–2008,0,ja,92150440-9f35-4303-a633-01ae294f49eb,2d9dc292-5216-4611-89c8-263284f45dcd
hortens,Hortens IF,12,1945–1984,Hortens FIK,5,2001–2013,0,nei,ad8585c1-793d-403e-88b2-3bc2fecec3db,747bab1a-4621-45f2-8277-7dbdb5e2c7ed
viljar,Viljar IL,5,2016–2017,IL Viljar,5,1979–1981,0,nei,5144d271-3fcf-44f0-a61e-896bae3419bb,c5363a0e-6a69-4e06-8d74-5963bbd727cf
grane,Idrettsklubben Grane,7960,1952–2026,Grane Idrettslag,4,2013–2025,0,ja,bd63982a-2e60-41fc-bca9-cc7cd3e710ad,ac1aec04-86a5-4614-a407-bbde417fedc5
ørn,Idrettsforeningen Ørn,131,2011–2026,SK Ørn,4,1933–1949,0,nei,f4d81bfa-6d7f-4690-8f1a-1378a959273b,277c2a91-1382-4c11-8346-6e35ca1487a9
gjelleråsen,Gjelleråsen IL,16,1984–2023,Gjelleråsen IF,4,1951–1979,0,nei,fc6f20d2-7d1c-40f6-81c4-a3dfa0cae361,bc362c0b-6fd5-4843-8035-6e9f13a8b181
vardal,Vardal IF,11,1974–1979,Vardal IL,4,1975–1977,0,ja,ad40a1c9-41fc-4e81-9b25-85920edead62,db683337-5d2f-416a-a360-bddfd541e731
molde,Molde IL,9,2020–2020,Molde FK,4,2016–2016,0,nei,800bcd16-3d6f-4fa3-94ed-10c77b331dad,ee92da3a-1b7c-461a-a567-e4e677c60e48
nannestad,Nannestad Skiklubb,4,2013–2015,Nannestad IL,4,1971–2015,0,ja,458ab2bc-a608-48aa-93d0-11c6efbc2b64,76ffd66a-5a8e-4d4d-b6f3-fb4ed9d94e4e
hovding,Turn & IL Hovding,6297,1965–2026,IL Hovding,3,2012–2012,0,ja,70f0df0e-ff4b-4ed3-891e-046cd51011a2,37489dc1-f3a9-42b2-98e2-a6271ef11612
fet,Fet Friidrettsklubb,812,1971–2026,Fet IL,3,1934–1973,0,ja,826ca272-4679-414f-9877-520e94455a6a,9027c9ab-0c39-4a66-9965-b6bb055bb15c
samnanger,Samnanger,77,2011–2024,Samnanger IL,3,1980–1980,0,nei,724420b0-38b6-43f6-9dc9-83e31504d99c,6d1e6a57-137e-4789-87bc-c1f90f4faff3
vardild,Vardild IL,9,2019–2019,IL Vardild,3,1980–1982,0,nei,89c638e0-3c2a-4461-9c4d-8adc0a9b32c2,81622fcb-f613-43de-8a36-ee634b114003
holeværingen,Idrettslaget Holeværingen,9,2017–2019,IL Holeværingen,3,1976–1977,0,nei,c2378fc6-22a7-4c01-a464-025622a68e17,becd8285-c2c7-4038-ae82-1ca758482d19
ravn,IL Ravn,6,2022–2022,Ravn IL,3,1969–2015,0,nei,59de0a0b-94d8-4673-b15b-e26f781d5b77,e66cc81b-eb87-4269-9af6-204991784d3c
charlottenlund,Charlottenlund SK,4,1974–2016,Charlottenlund IF,3,1980–2014,0,ja,32e8b3ae-f80b-4390-a1d7-70a00bccf97f,e5c39e6b-1f81-4877-8df0-6879eb7330c8
tokke,Idrettslaget Tokke,4,2026–2026,Tokke IL,3,1933–1973,0,nei,54f54427-dc90-449d-af87-52820f2db9a2,49d2a49e-e578-40d7-8abc-fcb85fe3d2f0
narvik,Narvik IL,8566,1935–2026,Narvik Skiklubb,2,2015–2015,0,ja,08be15e0-3c94-4468-b5c7-9eeabc7003f4,0519f4f5-a6dd-4a23-ad92-c66b3510b237
sokndal,Sokndal FIK,301,1982–2022,Sokndal IL,2,1990–1991,0,ja,1f619844-7694-491b-b4c5-1ebd5a70084b,67fe4fc8-ae02-4849-a61d-17c3be98b195
olderdalen,Olderdalen IL,222,2011–2026,Olderdalen IK,2,1996–1996,0,nei,a2e703fd-940d-403d-8178-491b07e89180,80fa6e9f-3d26-4169-a509-9609b12b50db
kolbukameratene,Kolbukameratene,36,2014–2019,IL Kolbukameratene,2,1999–2001,0,nei,504ff168-0c5c-46ef-bd5b-dfa62967e359,e36abaea-e1ef-4cdf-9578-2be2877cf206
gulset,Gulset IF Friidrett,32,2011–2021,Gulset IF,2,2021–2021,0,ja,42106184-d44a-4e54-9277-dd1d5636935d,172b0fa6-4eef-4b8e-b8c4-3847b9039e8a
tynset,Tynset IF,28,1963–2026,Tynset IL,2,1976–1978,0,ja,a65359b5-5406-42d4-933f-c38f56484c4d,43ec9b7a-5bae-40b0-813f-c8ab41cf9f9e
heia,Heia IL,19,1949–2024,SK Heia,2,2016–2017,0,ja,f07c3eca-15d2-4b8d-9ef7-34a139d0caa0,6b20b725-9287-41a6-8cef-7fa1d2d6976f
ravn,IL Ravn,6,2022–2022,SK Ravn,2,1939–1939,0,nei,59de0a0b-94d8-4673-b15b-e26f781d5b77,975f65af-a872-4958-93e7-676b51668c26
holmsbu,Holmsbu IL,4,1979–1981,Holmsbu IF,2,1980–1983,0,ja,01aa222c-4fd4-413e-86b9-09e1a4d42df2,f1e5bc60-9b4e-40dd-a595-b097741594c0
rein,Rein IL,4,2014–2024,IL Rein,2,1959–1963,0,nei,b4422c90-7c79-4bcd-a25d-b5ab9b9a7c6d,733e7b6c-86ce-4012-b84d-dc77b75a570e
eik,Eik IF,2,1976–1977,Eik Friidrett,2,2018–2018,0,nei,ab64da2b-4e6b-47fd-aa93-fc695c223534,fa0d54c0-9e8f-4347-8ab0-f6b2536d1f32
kongsvinger,Kongsvinger IL Friidrett,3640,1938–2026,Kongsvinger IF,1,1962–1962,0,ja,1c9f2ea5-8ec0-45da-9748-9b03f990c216,901c334a-845c-4c4b-a54f-894324f733ea
vindbjart,Vindbjart Friidrett,2013,1965–2026,IL Vindbjart,1,1993–1993,0,ja,8f682c39-d903-4108-9c99-6b1be0f6f1de,04bf2fc5-2faf-40f2-a8c5-6d491a987105
stavanger,Stavanger Friidrettsklubb,472,2013–2021,Stavanger IL,1,2019–2019,0,ja,3887cfc5-512b-41b6-a35d-2445611d2ffd,84003224-bc13-444f-a9c3-d4d288bfe973
stavanger,Stavanger Friidrettsklubb,472,2013–2021,Stavanger Turnforening,1,2012–2012,0,nei,3887cfc5-512b-41b6-a35d-2445611d2ffd,c173fc68-419c-4d75-b470-0c8f7e2b4dbf
sand,IL Sand,817,1989–2026,Sand IL,1,1952–1952,0,nei,5728c685-02a2-4880-a5a3-d661b0fa822d,9e6af43a-f80d-42b4-97e1-87c3d0bd049f
orkanger,Orkanger IL,79,1981–2026,Orkanger IF,1,1953–1953,0,nei,6cace8d2-3495-4119-9242-2a66c89ab11f,e0916233-ada2-4234-b327-145bc49bc74d
nydalens,Nydalens SK,65,2016–2025,Nydalens Skiklubb,1,1979–1979,0,nei,ad91a185-fd98-4f6e-9692-5f7fb690c664,41536caf-d641-44b3-a3ed-de17db62d5b5
triumf,Triumf,59,1985–2026,IL Triumf,1,1970–1970,0,nei,99673ca5-bc64-4ff7-acc3-deb770361f8a,ac9b6654-9a96-4601-9542-4fddd87c7dda
jondalen,Jondalen IF,44,2011–2025,Jondalen IL,1,1983–1983,0,nei,8768d749-050c-4f8f-ba81-83d801f77c34,2dd4359f-90e3-488c-9357-1a9f272e07b7
gulset,Gulset IF Friidrett,32,2011–2021,Gulset IL,1,1984–1984,0,nei,42106184-d44a-4e54-9277-dd1d5636935d,404d45fb-db4d-49b6-b821-3dc38a14fc50
korgen,Korgen IL - Friidrett,27,2012–2021,Korgen IL,1,1999–1999,0,nei,4caeda6a-bcb6-4d90-842f-87acc3c9c1a2,18bb7f71-5d4a-4db0-9196-ecb59f13acd9
sokna,Sokna IF,14,1970–1983,Sokna SK,1,2021–2021,0,nei,99f3ba74-4e2a-4a04-86dc-986e145a033e,a3c121e2-17dd-44cc-a0c5-46e6f6f893c5
molde,Molde IL,9,2020–2020,Molde Atletklubb,1,2026–2026,0,nei,800bcd16-3d6f-4fa3-94ed-10c77b331dad,490ab4de-0119-4760-ac58-1f1e5de4e1c1
skoger,Skoger Turn,6,2018–2019,Skoger IF,1,1964–1964,0,nei,907e5b66-5914-413a-bee2-748023c964b9,545193d0-fdad-43c1-9246-7fe6b20e59bf
mausund,Mausund,7,2015–2015,Mausund IL,1,1976–1976,0,nei,044ea7b7-0a29-4e6f-8d19-d8d1702af7ed,f8672d79-b1c0-4860-bfde-fcab9c73dc41
mebonden,Mebonden IL,7,1947–1972,IL Mebonden,1,1967–1967,0,ja,94b81a19-3deb-438d-9b28-61ed7123b4fd,e1c25655-0158-4a3e-b0dc-cae1917516d2
åsguten,Åsguten,5,2018–2018,IL Åsguten,1,1964–1964,0,nei,c331f9ff-1391-4477-9ca5-e1aa6c7ace1e,3819f484-af96-448b-8e88-f3e1e269e3e3
fossekallen,IL Fossekallen,5,1951–1958,IF Fossekallen,1,1959–1959,0,nei,7add7b44-b605-4807-a845-688f1234fcf8,be46cf08-e842-4f8f-9865-a5ef69a08ca5
herd,SK Herd,5,1934–1954,IL Herd,1,1949–1949,0,ja,d1e8ddeb-2ce5-4769-bf19-2f73a2b610fe,891dc666-a05b-4cc5-a8b5-96c18edbff78
orkla,Orkla FK,4,2019–2020,Orkla,1,2020–2020,0,ja,e21436a1-83cb-4647-ab1f-1bdf12410ab7,6a8ba228-c02e-4e42-bbe4-052eae009390
vikersund,Vikersund IF,4,1955–1971,Vikersund Friidrett,1,2019–2019,0,nei,b3cc2aaf-a505-40c8-8b2e-59fe9b2dfe06,d4a2e539-4e54-43bb-ba88-80299b15c145
sverresborg,Sverresborg IF,3,2025–2025,Sverresborg IL,1,1965–1965,0,nei,f5d8bb8a-5703-4356-9f26-7d465718a0a3,6db18ec3-1963-4d96-94e9-954a2b120550
støren,Støren IL,2,1975–1975,Støren SK,1,1977–1977,0,nei,e30a707b-6c2f-48f3-9904-8e2e8e35fa04,a291ec1f-87ef-4b27-b047-251bf299c19a
frei,Frei IL,1,2023–2023,IL Frei,1,1971–1971,0,nei,13c94077-42e8-4a6e-8d4b-06e752acf5cb,b77e5f7a-edbf-4a51-9b50-74aabcb6ead2
djerv,IL Djerv,1,1930–1930,SK Djerv,1,1938–1938,0,nei,21cd06a8-edcc-4458-8820-ae3f9bb9c307,7ed18735-0c2f-436c-8e2b-f64ae58cb7e3
