ovelse,kode,gruppe,yr,n,median,p90
Kule (2 kg),kule_2kg,J13,2023,36,7.715,9.995
Kule (2 kg),kule_2kg,J13,2024,53,8.04,9.718
Kule (2 kg),kule_2kg,J13,2025,43,8.5,10.256
Kule (3 kg),kule_3kg,J14,2012,41,8.12,10.28
Kule (3 kg),kule_3kg,J14,2013,36,7.895,9.975
Kule (3 kg),kule_3kg,J14,2014,34,8.09,9.943
Kule (3 kg),kule_3kg,J14,2015,45,7.51,10.022
Kule (3 kg),kule_3kg,J14,2016,31,7.73,9.47
Kule (3 kg),kule_3kg,J14,2017,44,8.175,9.73
Kule (3 kg),kule_3kg,J14,2018,42,7.53,9.537
Kule (3 kg),kule_3kg,J14,2019,38,7.855,10.003
Kule (3 kg),kule_3kg,J14,2020,38,7.43,9.309
Kule (3 kg),kule_3kg,J14,2021,36,7.72,9.82
Kule (3 kg),kule_3kg,J14,2022,37,7.59,9.104
Kule (3 kg),kule_3kg,J14,2023,43,7.62,9.048
Kule (3 kg),kule_3kg,J14,2024,31,7.48,9.65
Kule (3 kg),kule_3kg,J14,2025,40,7.575,9.868
Spyd (400 g),spyd_400g,G13,2012,43,29.19,36.478
Spyd (400 g),spyd_400g,G13,2013,40,29.905,37.563
Spyd (400 g),spyd_400g,G13,2014,31,31.55,41.94
Spyd (400 g),spyd_400g,G13,2015,32,27.895,37.411
Spyd (400 g),spyd_400g,G13,2016,34,24.735,37.658
Spyd (400 g),spyd_400g,G13,2017,37,28.55,38.154
Spyd (400 g),spyd_400g,G13,2018,31,26.18,34.37
Spyd (400 g),spyd_400g,G13,2019,36,25.68,34.595
Spyd (400 g),spyd_400g,G13,2020,29,25.85,37.104
Spyd (400 g),spyd_400g,G13,2021,41,24.23,31.17
Spyd (400 g),spyd_400g,G13,2022,31,23.94,31.54
Spyd (400 g),spyd_400g,G13,2023,30,24.91,32.84
Spyd (400 g),spyd_400g,G13,2024,33,24.59,32.874
Spyd (400 g),spyd_400g,G13,2025,34,24.415,32.957
Spyd (600 g),spyd_600g,G14,2012,39,32.27,41.848
Spyd (600 g),spyd_600g,G14,2013,36,30.6,37.155
Spyd (600 g),spyd_600g,G14,2014,31,30.52,39.66
Spyd (600 g),spyd_600g,G14,2015,33,30.43,43.422
Spyd (600 g),spyd_600g,G14,2016,26,31.91,37.79
Spyd (600 g),spyd_600g,G14,2017,31,26.79,41.08
Spyd (600 g),spyd_600g,G14,2018,32,26.695,41.758
Spyd (600 g),spyd_600g,G14,2019,22,30.465,39.645
Spyd (600 g),spyd_600g,G14,2020,28,28.17,34.258
Spyd (600 g),spyd_600g,G14,2021,34,24.425,37.667
Spyd (600 g),spyd_600g,G14,2022,40,25.745,33.57
Spyd (600 g),spyd_600g,G14,2023,29,26.28,33.788
Spyd (600 g),spyd_600g,G14,2024,26,28.705,35.61
Spyd (600 g),spyd_600g,G14,2025,34,25.28,36.811
Spyd (400 g),spyd_400g,J13,2012,37,22.17,31.238
Spyd (400 g),spyd_400g,J13,2013,33,21.31,29.386
Spyd (400 g),spyd_400g,J13,2014,39,20.48,28.44
Spyd (400 g),spyd_400g,J13,2015,34,21.09,29.141
Spyd (400 g),spyd_400g,J13,2016,34,22.43,31.85
Spyd (400 g),spyd_400g,J13,2017,37,20.58,29.832
Spyd (400 g),spyd_400g,J13,2018,33,19.17,31.634
Spyd (400 g),spyd_400g,J13,2019,27,20.76,29.48
Spyd (400 g),spyd_400g,J13,2020,32,20.76,28.69
Spyd (400 g),spyd_400g,J13,2021,26,18.915,24.465
Spyd (400 g),spyd_400g,J13,2022,44,19.36,26.199
Spyd (400 g),spyd_400g,J13,2023,31,17.76,26.1
Spyd (400 g),spyd_400g,J13,2024,37,17.42,24.984
Spyd (400 g),spyd_400g,J13,2025,33,19.92,26.482
Spyd (400 g),spyd_400g,J14,2012,32,27.995,36.139
Spyd (400 g),spyd_400g,J14,2013,32,24.525,32.624
Spyd (400 g),spyd_400g,J14,2014,32,25.72,33.665
Spyd (400 g),spyd_400g,J14,2015,40,22.95,32.486
Spyd (400 g),spyd_400g,J14,2016,34,23.67,31.225
Spyd (400 g),spyd_400g,J14,2017,38,25.965,35.531
Spyd (400 g),spyd_400g,J14,2018,37,23.54,29.784
Spyd (400 g),spyd_400g,J14,2019,35,25.61,36.326
Spyd (400 g),spyd_400g,J14,2020,28,22.845,32.279
Spyd (400 g),spyd_400g,J14,2021,30,22.37,32.064
Spyd (400 g),spyd_400g,J14,2022,30,20.665,32.385
Spyd (400 g),spyd_400g,J14,2023,43,20.3,28.102
Spyd (400 g),spyd_400g,J14,2024,30,21.395,30.741
Spyd (400 g),spyd_400g,J14,2025,38,20.635,28.795
Diskos (750 g),diskos_750g,G13,2012,28,24.125,32.519
Diskos (750 g),diskos_750g,G13,2013,34,21.365,29.179
Diskos (750 g),diskos_750g,G13,2014,28,22.285,33.351
Diskos (750 g),diskos_750g,G13,2015,30,21.54,32.788
Diskos (750 g),diskos_750g,G13,2016,27,24.73,32.812
Diskos (750 g),diskos_750g,G13,2017,32,23.575,31.769
Diskos (750 g),diskos_750g,G13,2018,22,22.68,30.03
Diskos (750 g),diskos_750g,G13,2019,33,22.35,29.538
Diskos (750 g),diskos_750g,G13,2020,20,23.175,28.763
Diskos (750 g),diskos_750g,G13,2021,27,19.59,27.046
Diskos (750 g),diskos_750g,G13,2022,28,20.665,28.433
Diskos (750 g),diskos_750g,G13,2023,26,21.43,28.975
Diskos (750 g),diskos_750g,G13,2024,29,19.79,28.672
Diskos (750 g),diskos_750g,G13,2025,27,19.57,28.97
Diskos (1 kg),diskos_1kg,G14,2012,28,23.5,35.991
Diskos (1 kg),diskos_1kg,G14,2013,27,24.56,33.652
Diskos (1 kg),diskos_1kg,G14,2014,35,23.67,32.864
Diskos (1 kg),diskos_1kg,G14,2015,29,24.35,34.156
Diskos (1 kg),diskos_1kg,G14,2016,24,23.395,32.089
Diskos (1 kg),diskos_1kg,G14,2017,27,24.73,33.282
Diskos (1 kg),diskos_1kg,G14,2018,32,25.1,39.067
Diskos (1 kg),diskos_1kg,G14,2019,20,25.255,37.151
Diskos (1 kg),diskos_1kg,G14,2020,27,24.58,28.612
Diskos (1 kg),diskos_1kg,G14,2021,20,23.02,32.669
Diskos (1 kg),diskos_1kg,G14,2022,33,21.42,28.5
Diskos (1 kg),diskos_1kg,G14,2023,32,21.52,29.942
Diskos (1 kg),diskos_1kg,G14,2024,26,23.87,32.385
Diskos (1 kg),diskos_1kg,G14,2025,28,23.28,26.84
Diskos (600 g),diskos_600g,J13,2012,31,19.35,26.44
Diskos (600 g),diskos_600g,J13,2013,27,17.64,24.482
Diskos (600 g),diskos_600g,J13,2014,32,18.915,25.911
Diskos (600 g),diskos_600g,J13,2015,28,19.75,29.763
Diskos (600 g),diskos_600g,J13,2016,35,19.18,26.022
Diskos (600 g),diskos_600g,J13,2017,30,20.175,26.051
Diskos (600 g),diskos_600g,J13,2018,29,19.44,35.976
Diskos (600 g),diskos_600g,J13,2019,23,17.56,24.958
Diskos (600 g),diskos_600g,J13,2020,21,16.36,21.93
Diskos (600 g),diskos_600g,J13,2021,25,17.13,23.03
Diskos (600 g),diskos_600g,J13,2022,36,17.455,22.375
Diskos (600 g),diskos_600g,J13,2023,23,17.36,25.166
Diskos (600 g),diskos_600g,J13,2024,31,18.67,24.52
Diskos (600 g),diskos_600g,J13,2025,32,18.06,23.78
Diskos (750 g),diskos_750g,J14,2012,28,20.34,29.038
Diskos (750 g),diskos_750g,J14,2013,23,20.57,27.85
Diskos (750 g),diskos_750g,J14,2014,33,20.72,27.46
Diskos (750 g),diskos_750g,J14,2015,32,20.72,28.627
Diskos (750 g),diskos_750g,J14,2016,33,20.12,31.666
Diskos (750 g),diskos_750g,J14,2017,32,20.53,25.122
Diskos (750 g),diskos_750g,J14,2018,26,20.51,28.955
Diskos (750 g),diskos_750g,J14,2019,32,21.095,32.906
Diskos (750 g),diskos_750g,J14,2020,24,19.39,27.091
Diskos (750 g),diskos_750g,J14,2021,32,17.12,27.209
Diskos (750 g),diskos_750g,J14,2022,29,18.8,25.078
Diskos (750 g),diskos_750g,J14,2023,39,18.08,25.152
Diskos (750 g),diskos_750g,J14,2024,24,20.305,23.65
Diskos (750 g),diskos_750g,J14,2025,33,19.25,26.588
Slegge (3 kg),slegge_30kg_1195cm,G13,2012,0,,
Slegge (3 kg),slegge_30kg_1195cm,G13,2013,21,21.42,35.36
Slegge (3 kg),slegge_30kg_1195cm,G13,2014,28,22.465,37.283
Slegge (3 kg),slegge_30kg_1195cm,G13,2015,14,21.135,
Slegge (3 kg),slegge_30kg_1195cm,G13,2016,24,22.67,29.681
Slegge (3 kg),slegge_30kg_1195cm,G13,2017,28,24.08,29.921
Slegge (3 kg),slegge_30kg_1195cm,G13,2018,22,21.655,31.846
Slegge (3 kg),slegge_30kg_1195cm,G13,2019,28,20.845,29.634
Slegge (3 kg),slegge_30kg_1195cm,G13,2020,16,20.59,
Slegge (3 kg),slegge_30kg_1195cm,G13,2021,28,19.945,26.894
Slegge (3 kg),slegge_30kg_1195cm,G13,2022,25,19.94,29.766
Slegge (3 kg),slegge_30kg_1195cm,G13,2023,19,19.44,
Slegge (3 kg),slegge_30kg_1195cm,G13,2024,22,19.63,26.528
Slegge (3 kg),slegge_30kg_1195cm,G13,2025,23,22.39,33.604
Slegge (4 kg),slegge_40kg/1195cm,G14,2012,27,24.98,36.566
Slegge (4 kg),slegge_40kg/1195cm,G14,2013,22,20.865,34.11
Slegge (4 kg),slegge_40kg/1195cm,G14,2014,25,25.25,40.376
Slegge (4 kg),slegge_40kg/1195cm,G14,2015,26,22.39,43.435
Slegge (4 kg),slegge_40kg/1195cm,G14,2016,17,20.5,
Slegge (4 kg),slegge_40kg/1195cm,G14,2017,25,23.29,33.772
Slegge (4 kg),slegge_40kg/1195cm,G14,2018,25,22.67,34.954
Slegge (4 kg),slegge_40kg/1195cm,G14,2019,18,28.495,
Slegge (4 kg),slegge_40kg/1195cm,G14,2020,22,23.435,37.615
Slegge (4 kg),slegge_40kg/1195cm,G14,2021,24,21.165,35.083
Slegge (4 kg),slegge_40kg/1195cm,G14,2022,28,19.01,30.102
Slegge (4 kg),slegge_40kg/1195cm,G14,2023,25,19.56,28.75
Slegge (4 kg),slegge_40kg/1195cm,G14,2024,20,21.695,32.988
Slegge (4 kg),slegge_40kg/1195cm,G14,2025,23,20.26,32.062
Slegge (2 kg),slegge_20kg/110cm,J13,2012,24,23.49,29.646
Slegge (2 kg),slegge_20kg/110cm,J13,2013,27,21.1,26.598
Slegge (2 kg),slegge_20kg/110cm,J13,2014,34,21.715,29.639
Slegge (2 kg),slegge_20kg/110cm,J13,2015,28,23.6,30.514
Slegge (2 kg),slegge_20kg/110cm,J13,2016,33,24.85,32.784
Slegge (2 kg),slegge_20kg/110cm,J13,2017,27,25.27,32.6
Slegge (2 kg),slegge_20kg/110cm,J13,2018,28,24.66,37.468
Slegge (2 kg),slegge_20kg/110cm,J13,2019,18,23.49,
Slegge (2 kg),slegge_20kg/110cm,J13,2020,21,24.68,31.3
Slegge (2 kg),slegge_20kg/110cm,J13,2021,25,22.99,34.22
Slegge (2 kg),slegge_20kg/110cm,J13,2022,37,23.38,29.896
Slegge (2 kg),slegge_20kg/110cm,J13,2023,32,21.8,40.632
Slegge (2 kg),slegge_20kg/110cm,J13,2024,34,20.665,29.37
Slegge (2 kg),slegge_20kg/110cm,J13,2025,31,22.97,30.4
Slegge (3 kg),slegge_30kg_1195cm,J14,2012,0,,
Slegge (3 kg),slegge_30kg_1195cm,J14,2013,18,22.03,
Slegge (3 kg),slegge_30kg_1195cm,J14,2014,28,20.94,28.48
Slegge (3 kg),slegge_30kg_1195cm,J14,2015,30,20.68,31.249
Slegge (3 kg),slegge_30kg_1195cm,J14,2016,28,22.605,30.551
Slegge (3 kg),slegge_30kg_1195cm,J14,2017,30,23.095,30.0
Slegge (3 kg),slegge_30kg_1195cm,J14,2018,29,21.49,34.092
Slegge (3 kg),slegge_30kg_1195cm,J14,2019,25,23.74,37.29
Slegge (3 kg),slegge_30kg_1195cm,J14,2020,23,20.75,32.892
Slegge (3 kg),slegge_30kg_1195cm,J14,2021,27,21.89,28.772
Slegge (3 kg),slegge_30kg_1195cm,J14,2022,28,21.77,30.287
Slegge (3 kg),slegge_30kg_1195cm,J14,2023,38,22.34,31.188
Slegge (3 kg),slegge_30kg_1195cm,J14,2024,28,21.425,36.129
Slegge (3 kg),slegge_30kg_1195cm,J14,2025,39,19.66,30.848
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2012,28,10.795,9.897
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2013,27,10.97,10.132
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2014,27,11.01,9.524
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2015,25,11.1,10.262
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2016,25,10.73,9.71
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2017,24,10.87,9.826
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2018,34,10.73,9.758
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2019,24,10.745,10.15
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2020,26,11.275,10.025
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2021,22,10.79,9.809
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2022,26,10.91,9.805
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2023,29,10.71,10.044
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2024,27,10.94,9.752
"60 m hekk (76,2 cm)",60mh_76_2cm,G13,2025,20,11.1,9.729
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2012,29,11.37,10.27
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2013,35,11.47,10.148
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2014,34,10.89,9.989
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2015,34,11.185,10.285
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2016,38,11.045,9.904
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2017,33,11.28,10.204
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2018,37,11.42,10.242
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2019,32,11.295,10.508
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2020,30,10.995,10.135
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2021,27,11.48,10.394
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2022,34,11.22,10.462
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2023,28,11.57,10.162
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2024,0,,
"60 m hekk (76,2 cm)",60mh_76_2cm,J13,2025,0,,
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2012,32,10.835,9.711
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2013,23,10.42,9.806
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2014,28,10.79,9.794
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2015,30,10.275,9.651
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2016,30,10.585,9.973
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2017,36,10.9,9.775
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2018,34,10.69,9.941
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2019,29,10.64,9.796
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2020,26,10.625,9.6
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2021,24,10.64,9.794
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2022,24,10.545,10.039
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2023,33,10.49,9.99
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2024,24,10.52,9.629
"60 m hekk (76,2 cm)",60mh_76_2cm,J14,2025,33,11.73,9.972
80 m hekk (84 cm),80mh_84cm,G14,2012,21,13.82,12.41
80 m hekk (84 cm),80mh_84cm,G14,2013,20,13.715,12.743
80 m hekk (84 cm),80mh_84cm,G14,2014,21,13.73,12.72
80 m hekk (84 cm),80mh_84cm,G14,2015,20,13.425,11.968
80 m hekk (84 cm),80mh_84cm,G14,2016,13,14.99,
80 m hekk (84 cm),80mh_84cm,G14,2017,20,14.295,12.637
80 m hekk (84 cm),80mh_84cm,G14,2018,22,13.535,12.468
80 m hekk (84 cm),80mh_84cm,G14,2019,24,14.12,12.46
80 m hekk (84 cm),80mh_84cm,G14,2020,17,13.3,
80 m hekk (84 cm),80mh_84cm,G14,2021,23,13.38,12.13
80 m hekk (84 cm),80mh_84cm,G14,2022,21,13.54,12.52
80 m hekk (84 cm),80mh_84cm,G14,2023,20,13.475,11.849
80 m hekk (84 cm),80mh_84cm,G14,2024,24,14.165,12.743
80 m hekk (84 cm),80mh_84cm,G14,2025,21,13.59,12.53
200 m hekk (68 cm),200mh_68cm,G13,2012,27,34.25,30.692
200 m hekk (68 cm),200mh_68cm,G13,2013,25,34.77,32.376
200 m hekk (68 cm),200mh_68cm,G13,2014,23,35.0,31.028
200 m hekk (68 cm),200mh_68cm,G13,2015,17,33.67,
200 m hekk (68 cm),200mh_68cm,G13,2016,29,34.35,30.698
200 m hekk (68 cm),200mh_68cm,G13,2017,29,34.29,30.92
200 m hekk (68 cm),200mh_68cm,G13,2018,29,33.95,30.752
200 m hekk (68 cm),200mh_68cm,G13,2019,22,33.835,31.133
200 m hekk (68 cm),200mh_68cm,G13,2020,22,34.225,30.776
200 m hekk (68 cm),200mh_68cm,G13,2021,26,33.575,31.17
200 m hekk (68 cm),200mh_68cm,G13,2022,22,33.505,31.137
200 m hekk (68 cm),200mh_68cm,G13,2023,25,35.53,31.84
200 m hekk (68 cm),200mh_68cm,G13,2024,27,35.7,31.234
200 m hekk (68 cm),200mh_68cm,G13,2025,21,34.36,32.1
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2012,20,32.36,29.673
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2013,15,31.81,
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2014,25,33.13,31.262
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2015,19,32.13,
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2016,19,32.38,
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2017,22,32.915,30.184
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2018,22,32.42,29.938
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2019,29,33.04,30.47
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2020,20,32.095,29.674
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2021,25,32.12,29.642
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2022,24,32.81,29.952
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2023,18,32.225,
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2024,30,33.03,30.483
"200 m hekk (76,2 cm)",200mh_76_2cm,G14,2025,20,33.055,29.805
200 m hekk (68 cm),200mh_68cm,J13,2012,24,35.53,33.288
200 m hekk (68 cm),200mh_68cm,J13,2013,31,36.21,33.31
200 m hekk (68 cm),200mh_68cm,J13,2014,33,34.61,32.646
200 m hekk (68 cm),200mh_68cm,J13,2015,23,35.12,32.766
200 m hekk (68 cm),200mh_68cm,J13,2016,13,34.99,
200 m hekk (68 cm),200mh_68cm,J13,2017,25,35.16,32.894
200 m hekk (68 cm),200mh_68cm,J13,2018,39,36.09,33.456
200 m hekk (68 cm),200mh_68cm,J13,2019,26,35.545,31.66
200 m hekk (68 cm),200mh_68cm,J13,2020,25,36.05,32.22
200 m hekk (68 cm),200mh_68cm,J13,2021,26,36.085,32.88
200 m hekk (68 cm),200mh_68cm,J13,2022,36,35.63,33.645
200 m hekk (68 cm),200mh_68cm,J13,2023,26,35.47,31.59
200 m hekk (68 cm),200mh_68cm,J13,2024,32,36.59,32.579
200 m hekk (68 cm),200mh_68cm,J13,2025,34,36.39,32.823
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2012,27,35.36,31.992
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2013,19,36.55,
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2014,21,34.61,31.25
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2015,22,33.4,31.828
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2016,20,34.43,31.889
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2017,29,34.37,31.82
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2018,29,36.06,33.308
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2019,28,35.38,32.693
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2020,22,34.25,32.534
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2021,22,34.795,31.768
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2022,22,35.995,34.034
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2023,28,34.91,33.258
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2024,25,35.57,30.586
"200 m hekk (76,2 cm)",200mh_76_2cm,J14,2025,33,36.38,32.222
